formula,x_Fe_x,x_Mn_x,x_Ni_x,x_Mg_x,x_Fe_y,x_Mn_y,x_Ni_y,x_Mg_y,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V,x_Fe,x_Mn,x_Ni,x_Mg,Vavg_V,Vavg_V_unc,E_hull_meV,E_hull_meV_unc,E_g,E_g_unc,dV_percent_unc,density_g_cm3_unc,acq
LiFe0.17Mn0.72Ni0.06Mg0.05PO4,0.17,0.72,0.06,0.05,0.17,0.72,0.06,0.05,303.01621250904896,276.2674516327793,7.1196337951700315,4.211172149935073,4.266,0.17,0.72,0.06,0.05,3.844970373554912,0.0159344512347627,11.272475797791405,0.3441833777050622,1.5518876634920855,0.0518586629424613,0.2641269236384022,0.0120637719675325,0.0025692269333607576
LiFe0.55Mn0.22Ni0.17Mg0.06PO4,0.55,0.22,0.17,0.06,0.55,0.22,0.17,0.06,301.5292169048672,279.6327829251074,2.8847371824523127,3.0340195394715046,4.1899999999999995,0.55,0.22,0.17,0.06,3.6056958488561826,0.1155340977372991,49.95134157748847,3.2209627403001835,1.6086898705708923,0.2058468540716213,0.6217183727957563,0.0864149641331765,0.0006365534850254384
LiFe0.06Mn0.35Ni0.45Mg0.15PO4,0.06,0.35,0.45,0.15,0.06,0.35,0.45,0.15,303.4466586049963,275.29327678500005,12.256547624934717,3.4082686768164057,4.288,0.06,0.35,0.45,0.15,3.688712689094622,0.0649483568140935,31.814886314777855,4.5846039222790695,2.048531855751983,0.051082218461705,0.3760473588005307,0.0812370092008961,0.0001079697719177878
LiFe0.02Mn0.89Ni0.03Mg0.06PO4,0.02,0.89,0.03,0.06,0.02,0.89,0.03,0.06,303.60318445806803,274.9390313858076,13.160468971643503,3.5504200969550355,4.296,0.02,0.89,0.03,0.06,3.3417552893495084,0.0040159816770889,45.8256625984081,0.5300417110670984,1.9003319418596003,0.0187156847109353,0.1031999597564547,0.0098804391570987,0.0
LiFe0.89Mn0.00Ni0.02Mg0.09PO4,0.89,0.0,0.02,0.09,0.89,0.0,0.02,0.09,300.1987471537572,282.64386881824305,7.822597794844482,3.5530354462028706,4.122,0.89,0.0,0.02,0.09,3.803684679833725,0.0034973351398785,41.54551220557288,0.1420893079728706,1.738588848064225,0.0068465444078927,0.0411628085554343,0.0054030011297449,1.291105684256475e-52
LiFe0.19Mn0.22Ni0.14Mg0.45PO4,0.19,0.22,0.14,0.45,0.19,0.22,0.14,0.45,302.93794958251306,276.4445743323755,5.30448584492205,3.3006530349402294,4.262,0.19,0.22,0.14,0.45,3.6377006496490623,0.0619482291137885,37.33912639545844,5.702249156417231,1.6763869290280176,0.1102881634215672,0.3250344187862307,0.0591426486446453,3.519311859253873e-06
LiFe0.73Mn0.09Ni0.10Mg0.07PO4,0.73,0.09,0.1,0.07,0.73,0.09,0.1,0.07,300.82485056604423,281.2268872214733,13.124709708750997,4.170701437789487,4.154,0.73,0.09,0.1,0.07,3.5733402163110894,0.0284721151449548,28.551037083172307,2.967655213709652,1.567863832708871,0.0474015216654062,0.8026391681531188,0.1185399882349793,6.399377325072561e-26
LiFe0.01Mn0.06Ni0.48Mg0.45PO4,0.01,0.06,0.48,0.45,0.01,0.06,0.48,0.45,303.642315921336,274.85047003600954,7.168889961723537,3.4514526969232167,4.298,0.01,0.06,0.48,0.45,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.26Mn0.04Ni0.16Mg0.54PO4,0.26,0.04,0.16,0.54,0.26,0.04,0.16,0.54,302.66402933963747,277.06450378096224,5.917107980557949,3.360971656085483,4.248,0.26,0.04,0.16,0.54,3.7538603783650055,0.049002000706544,45.51367559466218,2.4494011177424655,1.818296018240385,0.1145664291023742,0.6300716802083453,0.0541805750976043,0.00035049505412998363
LiFe0.16Mn0.55Ni0.17Mg0.12PO4,0.16,0.55,0.17,0.12,0.16,0.55,0.17,0.12,303.0553439723169,276.1788902829812,12.559751217212822,3.6825174293225262,4.268,0.16,0.55,0.17,0.12,3.733063127568296,0.0273688126438423,26.3651741294068,2.6033763950570616,2.4932300133804417,0.0161320563563044,0.0862832823924414,0.0302709336510114,2.3746100111568875e-08
LiFe0.05Mn0.28Ni0.06Mg0.62PO4,0.05,0.28,0.06,0.62,0.05,0.28,0.06,0.62,303.48579006826424,275.20471543520193,6.317096253170482,3.3673432328108532,4.29,0.05,0.28,0.06,0.62,3.633232415421556,0.0849762772512932,32.16956095631718,7.4544796804061795,1.8153113070218612,0.0999255158464295,0.4814195740266503,0.1029747550834482,0.0001207185338209858
LiFe0.71Mn0.02Ni0.24Mg0.03PO4,0.71,0.02,0.24,0.03,0.71,0.02,0.24,0.03,300.90311349258013,281.04976452187714,7.256426988459856,3.530825197340287,4.1579999999999995,0.71,0.02,0.24,0.03,3.58272159518998,0.0329372020258956,45.96101638412302,2.152387880617269,1.8104575083378427,0.0491824334379936,0.3225912918596602,0.0558682983278374,2.6915356977706016e-19
