formula,x_Fe,x_Mn,x_Ni,x_Mg
LiFe0.28Mn0.30Ni0.32Mg0.11PO4,0.28,0.3,0.32,0.11
LiFe0.48Mn0.24Ni0.11Mg0.18PO4,0.48,0.24,0.11,0.18
LiFe0.08Mn0.23Ni0.26Mg0.42PO4,0.08,0.23,0.26,0.42
LiFe0.55Mn0.22Ni0.17Mg0.06PO4,0.55,0.22,0.17,0.06
LiFe0.14Mn0.29Ni0.02Mg0.55PO4,0.14,0.29,0.02,0.55
LiFe0.13Mn0.52Ni0.27Mg0.09PO4,0.13,0.52,0.27,0.09
LiFe0.11Mn0.02Ni0.27Mg0.61PO4,0.11,0.02,0.27,0.61
LiFe0.17Mn0.01Ni0.14Mg0.68PO4,0.17,0.01,0.14,0.68
LiFe0.54Mn0.19Ni0.16Mg0.11PO4,0.54,0.19,0.16,0.11
LiFe0.16Mn0.33Ni0.32Mg0.19PO4,0.16,0.33,0.32,0.19
LiFe0.12Mn0.20Ni0.46Mg0.23PO4,0.12,0.2,0.46,0.23
LiFe0.71Mn0.02Ni0.24Mg0.03PO4,0.71,0.02,0.24,0.03
LiFe0.13Mn0.65Ni0.03Mg0.19PO4,0.13,0.65,0.03,0.19
LiFe0.00Mn0.87Ni0.01Mg0.13PO4,0.0,0.87,0.01,0.13
LiFe0.11Mn0.41Ni0.00Mg0.48PO4,0.11,0.41,0.0,0.48
LiFe0.18Mn0.18Ni0.50Mg0.14PO4,0.18,0.18,0.5,0.14
LiFe0.07Mn0.53Ni0.33Mg0.07PO4,0.07,0.53,0.33,0.07
LiFe0.26Mn0.70Ni0.00Mg0.04PO4,0.26,0.7,0.0,0.04
LiFe0.56Mn0.26Ni0.13Mg0.05PO4,0.56,0.26,0.13,0.05
LiFe0.33Mn0.43Ni0.20Mg0.04PO4,0.33,0.43,0.2,0.04
LiFe0.44Mn0.20Ni0.13Mg0.23PO4,0.44,0.2,0.13,0.23
LiFe0.31Mn0.18Ni0.16Mg0.34PO4,0.31,0.18,0.16,0.34
LiFe0.15Mn0.16Ni0.22Mg0.46PO4,0.15,0.16,0.22,0.46
LiFe0.37Mn0.36Ni0.05Mg0.22PO4,0.37,0.36,0.05,0.22
LiFe0.12Mn0.00Ni0.88Mg0.00PO4,0.12,0.0,0.88,0.0
LiFe0.26Mn0.08Ni0.05Mg0.61PO4,0.26,0.08,0.05,0.61
LiFe0.30Mn0.11Ni0.58Mg0.01PO4,0.3,0.11,0.58,0.01
LiFe0.01Mn0.06Ni0.48Mg0.45PO4,0.01,0.06,0.48,0.45
LiFe0.51Mn0.16Ni0.28Mg0.04PO4,0.51,0.16,0.28,0.04
LiFe0.36Mn0.11Ni0.26Mg0.27PO4,0.36,0.11,0.26,0.27
LiFe0.09Mn0.11Ni0.01Mg0.80PO4,0.09,0.11,0.01,0.8
LiFe0.16Mn0.11Ni0.03Mg0.71PO4,0.16,0.11,0.03,0.71
LiFe0.16Mn0.55Ni0.17Mg0.12PO4,0.16,0.55,0.17,0.12
LiFe0.01Mn0.66Ni0.03Mg0.31PO4,0.01,0.66,0.03,0.31
LiFe0.17Mn0.18Ni0.02Mg0.64PO4,0.17,0.18,0.02,0.64
LiFe0.22Mn0.57Ni0.06Mg0.15PO4,0.22,0.57,0.06,0.15
