formula,x_Fe_x,x_Mn_x,x_Ni_x,x_Mg_x,x_Fe_y,x_Mn_y,x_Ni_y,x_Mg_y,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V,x_Fe,x_Mn,x_Ni,x_Mg,Vavg_V,Vavg_V_unc,E_hull_meV,E_hull_meV_unc,E_g,E_g_unc,dV_percent_unc,density_g_cm3_unc,acq
LiFe0.04Mn0.72Ni0.22Mg0.02PO4,0.04,0.72,0.22,0.02,0.04,0.72,0.22,0.02,303.5249215315322,275.1161540854039,7.1196337951700315,4.211172149935073,4.292,0.04,0.72,0.22,0.02,3.844970373554912,0.0159344512347627,11.272475797791405,0.3441833777050622,1.5518876634920855,0.0518586629424613,0.2641269236384022,0.0120637719675325,0.0025692269333607576
LiFe0.69Mn0.22Ni0.00Mg0.09PO4,0.69,0.22,0.0,0.09,0.69,0.22,0.0,0.09,300.98137641911603,280.8726418222809,3.109717244230122,3.177801431888572,4.162,0.69,0.22,0.0,0.09,3.408331558404952,0.0706121800512467,49.81341006081953,3.5215213238164766,1.6052910938800946,0.1270554401546234,0.3799203109383856,0.049857396674038,1.3482553602435946e-12
LiFe0.01Mn0.33Ni0.58Mg0.08PO4,0.01,0.33,0.58,0.08,0.01,0.33,0.58,0.08,303.642315921336,274.85047003600954,12.284296492895631,3.407632369015284,4.298,0.01,0.33,0.58,0.08,3.6882827106560634,0.0650472248343767,31.794573211380417,4.617040448567406,2.049827780444367,0.0490577008071919,0.3891407369542321,0.082157856438296,0.00010721154823704687
LiFe0.23Mn0.01Ni0.56Mg0.20PO4,0.23,0.01,0.56,0.2,0.23,0.01,0.56,0.2,302.7814237294413,276.7988197315679,7.168889961723537,3.4514526969232167,4.254,0.23,0.01,0.56,0.2,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.77Mn0.16Ni0.05Mg0.02PO4,0.77,0.16,0.05,0.02,0.77,0.16,0.05,0.02,300.66832471297255,281.58113262066576,12.805082938215907,4.175877161736472,4.146,0.77,0.16,0.05,0.02,3.5626512756297144,0.0409981679410647,27.75208219424982,2.447614724492452,1.513426770536111,0.0431422196159888,0.4847392953707002,0.0591239078968951,2.780833979274696e-15
LiFe0.05Mn0.19Ni0.09Mg0.67PO4,0.05,0.19,0.09,0.67,0.05,0.19,0.09,0.67,303.48579006826424,275.20471543520193,5.321010733423769,3.2919529758291413,4.29,0.05,0.19,0.09,0.67,3.647928432943312,0.0630155399421198,36.85425722567364,5.820220601684521,1.6527329623461842,0.1077957640497738,0.3035342606177681,0.0611189434974549,8.471022491681525e-06
LiFe0.27Mn0.04Ni0.12Mg0.56PO4,0.27,0.04,0.12,0.56,0.27,0.04,0.12,0.56,302.6248978763695,277.15306513076035,5.917107980557949,3.360971656085483,4.246,0.27,0.04,0.12,0.56,3.7538603783650055,0.049002000706544,45.51367559466218,2.4494011177424655,1.818296018240385,0.1145664291023742,0.6300716802083453,0.0541805750976043,0.00035049505412998363
LiFe0.13Mn0.47Ni0.02Mg0.38PO4,0.13,0.47,0.02,0.38,0.13,0.47,0.02,0.38,303.1727383621207,275.91320623358683,12.559751217212822,3.6825174293225262,4.274,0.13,0.47,0.02,0.38,3.733063127568296,0.0273688126438423,26.3651741294068,2.6033763950570616,2.4932300133804417,0.0161320563563044,0.0862832823924414,0.0302709336510114,2.3746100111568875e-08
LiFe0.48Mn0.15Ni0.36Mg0.01PO4,0.48,0.15,0.36,0.01,0.48,0.15,0.36,0.01,301.80313714774275,279.0128534765206,10.055836954821334,3.842608107607701,4.204,0.48,0.15,0.36,0.01,3.729530899777047,0.0503104607226921,31.638260089385746,2.2592442630923384,1.5843552712949358,0.1331224892621825,0.513982270140566,0.087079835785163,0.00010293957930853433
LiFe0.01Mn0.28Ni0.60Mg0.11PO4,0.01,0.28,0.6,0.11,0.01,0.28,0.6,0.11,303.642315921336,274.85047003600954,6.317096253170482,3.3673432328108532,4.298,0.01,0.28,0.6,0.11,3.633232415421556,0.0849762772512932,32.16956095631718,7.4544796804061795,1.8153113070218612,0.0999255158464295,0.4814195740266503,0.1029747550834482,0.0001207185338209858
