formula,x_Fe,x_Mn,x_Ni,x_Mg,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V
LiFe0.09Mn0.58Ni0.12Mg0.21PO4,0.09,0.58,0.12,0.21,303.3292642151925,275.5589608343944,10.0778081383053,3.436489661426908,4.282
LiFe0.07Mn0.00Ni0.76Mg0.17PO4,0.07,0.0,0.76,0.17,303.40752714172834,275.38183813479816,10.177028810887569,3.4351920743067996,4.286
LiFe0.38Mn0.10Ni0.38Mg0.14PO4,0.38,0.1,0.38,0.14,302.1944517804222,278.12723997853954,8.653309831766096,3.4553046746684704,4.224
LiFe0.42Mn0.32Ni0.16Mg0.10PO4,0.42,0.32,0.16,0.1,302.03792592735044,278.481485377732,8.458889293005074,3.4578998489086863,4.216
LiFe0.11Mn0.07Ni0.54Mg0.28PO4,0.11,0.07,0.54,0.28,303.2510012886566,275.7360835339906,9.978714937130876,3.4377872485470156,4.278
LiFe0.22Mn0.07Ni0.45Mg0.26PO4,0.22,0.07,0.45,0.26,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
LiFe0.39Mn0.06Ni0.39Mg0.16PO4,0.39,0.06,0.39,0.16,302.1553203171543,278.21580132833765,8.604658281275803,3.4559534682285245,4.2219999999999995
LiFe0.11Mn0.53Ni0.29Mg0.07PO4,0.11,0.53,0.29,0.07,303.2510012886566,275.7360835339906,9.978714937130876,3.4377872485470156,4.278
LiFe0.12Mn0.38Ni0.16Mg0.33PO4,0.12,0.38,0.16,0.33,303.21186982538865,275.8246448837887,9.929216061581007,3.4384360421070697,4.276
LiFe0.03Mn0.17Ni0.14Mg0.66PO4,0.03,0.17,0.14,0.66,303.5640529948001,275.02759273560577,10.375853555402156,3.432596900066584,4.294
LiFe0.02Mn0.55Ni0.35Mg0.07PO4,0.02,0.55,0.35,0.07,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.36Mn0.41Ni0.15Mg0.08PO4,0.36,0.41,0.15,0.08,302.2727147069581,277.9501172789433,8.750705941816626,3.454007087548363,4.228
LiFe0.20Mn0.12Ni0.20Mg0.49PO4,0.2,0.12,0.2,0.49,302.8988181192451,276.5331356821736,9.53436642304386,3.4436263905875006,4.26
LiFe0.18Mn0.33Ni0.24Mg0.25PO4,0.18,0.33,0.24,0.25,302.977081045781,276.3560129825774,9.632889031758433,3.442328803467393,4.264
LiFe0.23Mn0.24Ni0.24Mg0.29PO4,0.23,0.24,0.24,0.29,302.7814237294413,276.7988197315679,9.386818926132216,3.4455727712676625,4.254
LiFe0.44Mn0.18Ni0.24Mg0.14PO4,0.44,0.18,0.24,0.14,301.95966300081454,278.6586080773282,8.361864391793794,3.459197436028794,4.212
LiFe0.59Mn0.05Ni0.15Mg0.21PO4,0.59,0.05,0.15,0.21,301.3726910517954,279.9870283242998,7.63809054136798,3.4689293394296024,4.1819999999999995
LiFe0.39Mn0.22Ni0.16Mg0.23PO4,0.39,0.22,0.16,0.23,302.1553203171543,278.21580132833765,8.604658281275803,3.4559534682285245,4.2219999999999995
LiFe0.69Mn0.22Ni0.00Mg0.09PO4,0.69,0.22,0.0,0.09,300.98137641911603,280.8726418222809,7.159378167403966,3.475417275030141,4.162
LiFe0.55Mn0.26Ni0.08Mg0.11PO4,0.55,0.26,0.08,0.11,301.5292169048672,279.6327829251074,7.830424512716819,3.466334165189387,4.1899999999999995
LiFe0.51Mn0.32Ni0.03Mg0.13PO4,0.51,0.32,0.03,0.13,301.68574275793895,279.2785375259149,8.023246408594806,3.463738990949171,4.1979999999999995
LiFe0.01Mn0.07Ni0.65Mg0.27PO4,0.01,0.07,0.65,0.27,303.642315921336,274.85047003600954,10.475458121484847,3.4312993129464764,4.298
LiFe0.51Mn0.38Ni0.05Mg0.05PO4,0.51,0.38,0.05,0.05,301.68574275793895,279.2785375259149,8.023246408594806,3.463738990949171,4.1979999999999995
LiFe0.28Mn0.50Ni0.18Mg0.04PO4,0.28,0.5,0.18,0.04,302.58576641310157,277.24162648055847,9.141534860502038,3.4488167390679316,4.244
LiFe0.68Mn0.21Ni0.11Mg0.00PO4,0.68,0.21,0.11,0.0,301.020507882384,280.7840804724828,7.20711351435908,3.474768481470087,4.164
LiFe0.40Mn0.41Ni0.06Mg0.14PO4,0.4,0.41,0.06,0.14,302.11618885388634,278.30436267813576,8.556037694345958,3.456602261788578,4.22
LiFe0.04Mn0.08Ni0.86Mg0.03PO4,0.04,0.08,0.86,0.03,303.5249215315322,275.1161540854039,10.326099367218335,3.4332456936266382,4.292
LiFe0.09Mn0.62Ni0.27Mg0.01PO4,0.09,0.62,0.27,0.01,303.3292642151925,275.5589608343944,10.0778081383053,3.436489661426908,4.282
LiFe0.31Mn0.41Ni0.05Mg0.23PO4,0.31,0.41,0.05,0.23,302.4683720232978,277.50731052995275,8.994740155016874,3.450763119748093,4.2379999999999995
LiFe0.38Mn0.10Ni0.41Mg0.12PO4,0.38,0.1,0.41,0.12,302.1944517804222,278.12723997853954,8.653309831766096,3.4553046746684704,4.224
LiFe0.27Mn0.09Ni0.38Mg0.26PO4,0.27,0.09,0.38,0.26,302.6248978763695,277.15306513076035,9.190528971271378,3.4481679455078775,4.2459999999999996
