formula,x_Fe,x_Mn,x_Ni,x_Mg
LiFe0.09Mn0.58Ni0.12Mg0.21PO4,0.09,0.58,0.12,0.21
LiFe0.07Mn0.00Ni0.76Mg0.17PO4,0.07,0.0,0.76,0.17
LiFe0.38Mn0.10Ni0.38Mg0.14PO4,0.38,0.1,0.38,0.14
LiFe0.42Mn0.32Ni0.16Mg0.10PO4,0.42,0.32,0.16,0.1
LiFe0.11Mn0.07Ni0.54Mg0.28PO4,0.11,0.07,0.54,0.28
LiFe0.22Mn0.07Ni0.45Mg0.26PO4,0.22,0.07,0.45,0.26
LiFe0.39Mn0.06Ni0.39Mg0.16PO4,0.39,0.06,0.39,0.16
LiFe0.11Mn0.53Ni0.29Mg0.07PO4,0.11,0.53,0.29,0.07
LiFe0.12Mn0.38Ni0.16Mg0.33PO4,0.12,0.38,0.16,0.33
LiFe0.03Mn0.17Ni0.14Mg0.66PO4,0.03,0.17,0.14,0.66
LiFe0.02Mn0.55Ni0.35Mg0.07PO4,0.02,0.55,0.35,0.07
LiFe0.36Mn0.41Ni0.15Mg0.08PO4,0.36,0.41,0.15,0.08
LiFe0.20Mn0.12Ni0.20Mg0.49PO4,0.2,0.12,0.2,0.49
LiFe0.18Mn0.33Ni0.24Mg0.25PO4,0.18,0.33,0.24,0.25
LiFe0.23Mn0.24Ni0.24Mg0.29PO4,0.23,0.24,0.24,0.29
LiFe0.44Mn0.18Ni0.24Mg0.14PO4,0.44,0.18,0.24,0.14
LiFe0.59Mn0.05Ni0.15Mg0.21PO4,0.59,0.05,0.15,0.21
LiFe0.39Mn0.22Ni0.16Mg0.23PO4,0.39,0.22,0.16,0.23
LiFe0.69Mn0.22Ni0.00Mg0.09PO4,0.69,0.22,0.0,0.09
LiFe0.55Mn0.26Ni0.08Mg0.11PO4,0.55,0.26,0.08,0.11
LiFe0.51Mn0.32Ni0.03Mg0.13PO4,0.51,0.32,0.03,0.13
LiFe0.01Mn0.07Ni0.65Mg0.27PO4,0.01,0.07,0.65,0.27
LiFe0.51Mn0.38Ni0.05Mg0.05PO4,0.51,0.38,0.05,0.05
LiFe0.28Mn0.50Ni0.18Mg0.04PO4,0.28,0.5,0.18,0.04
LiFe0.68Mn0.21Ni0.11Mg0.00PO4,0.68,0.21,0.11,0.0
LiFe0.40Mn0.41Ni0.06Mg0.14PO4,0.4,0.41,0.06,0.14
LiFe0.04Mn0.08Ni0.86Mg0.03PO4,0.04,0.08,0.86,0.03
LiFe0.09Mn0.62Ni0.27Mg0.01PO4,0.09,0.62,0.27,0.01
LiFe0.31Mn0.41Ni0.05Mg0.23PO4,0.31,0.41,0.05,0.23
LiFe0.38Mn0.10Ni0.41Mg0.12PO4,0.38,0.1,0.41,0.12
LiFe0.27Mn0.09Ni0.38Mg0.26PO4,0.27,0.09,0.38,0.26
LiFe0.43Mn0.42Ni0.13Mg0.02PO4,0.43,0.42,0.13,0.02
LiFe0.06Mn0.58Ni0.17Mg0.20PO4,0.06,0.58,0.17,0.2
LiFe0.15Mn0.47Ni0.17Mg0.21PO4,0.15,0.47,0.17,0.21
LiFe0.08Mn0.37Ni0.22Mg0.34PO4,0.08,0.37,0.22,0.34
LiFe0.03Mn0.27Ni0.07Mg0.63PO4,0.03,0.27,0.07,0.63
LiFe0.25Mn0.30Ni0.02Mg0.43PO4,0.25,0.3,0.02,0.43
LiFe0.23Mn0.42Ni0.33Mg0.02PO4,0.23,0.42,0.33,0.02
